DOWN,15084375611,15084364921,15087887840,15082669291,15082669690,15087876740,15087878300,15082675821,15087887840,15082669790,15082661041,15087880551,15085985140,15082659540,15082660960,15087883211,15084377391,15082668190,15084375540,15084377391
NA,15093914480,15093909120,15085974741,15085973730,15093920151,15093912751,15093915931,15106031850,15093917750,15085997600,15093900771,15093902081,15093920630,15093920151,15093902081,15106033551,15093905000,15093920101,15093912691,15085974811
UP,15082665380,15085984200,15087885541,15085991750,15087877271,15085983640,15082671420,15082671330,15087884081,15087877270,15084365500,15084372190,15087877561,15087877270,15087877120,15082676600,15087886561,15084365390,15085990000,15084364041
NA,15093910650,15085973921,15085974301,15093915631,15093895130,15093897281,15093911041,15106031961,15085997911,15093920450,15093915681,15085998861,15085974300,15093911820,15085975061,15093908901,15093901590,15106037141,15093917890,15085974610
HOLE,15089595140,15089604631,15089599501,15089594040,15089595620,15089607721,15089594820,15089606181,15089601200,15089602080,15089611350,15089599441,15089596020,15089604571,15089593250,15091322421,15089596911,15089594951,15089611440,15089606450
DOWN,15082659450,15084367791,15085988081,15084364781,15085988300,15085988080,15087879681,15082659780,15082660871,15085985501,15087884980,15082669461,15082666820,15082669371,15085994001,15084364851,15085989711,15085988151,15084375681,15084375431
UP,15087876340,15082667151,15082676701,15085992190,15087877410,15084363690,15082665020,15085988740,15087885771,15084365391,15082665930,15084364410,15087882081,15085984471,15082658791,15082669080,15085983701,15087879431,15084363991,15082664830
UP,15087879191,15085991801,15084363910,15084377771,15087885180,15082661901,15084375120,15082664201,15084376131,15082667810,15085991900,15085984530,15085984340,15087879350,15082663270,15085986230,15087886401,15084366041,15087876411,15084367381
DOWN,15085991180,15084367790,15087884240,15087883251,15084368180,15085985321,15085991440,15087879741,15084368130,15084368180,15085987161,15085988221,15085988221,15085985320,15084377640,15082659341,15087881821,15085988391,15087876851,15085991310
HOLE,15089605490,15089605141,15091323431,15089607390,15089596741,15089599440,15089601470,15089596490,15089601581,15089596741,15089599930,15089606000,15089601091,15089610510,15089596910,15089605011,15089601761,15089595010,15089605010,15089597100
UP,15084364040,15087887501,15085995140,15084367140,15082667051,15082676341,15085990001,15087883711,15084365501,15085991690,15085990151,15085995141,15085984051,15085989860,15085984581,15084377151,15084365960,15082671521,15087877870,15082663111
NA,15106033550,15093898720,15093901270,15085973801,15106037140,15093912140,15085973330,15093910831,15085997601,15093919511,15093910601,15093912750,15106031851,15093910990,15093895260,15093907491,15093907541,15093900240,15093909530,15093900381
DOWN,15082661500,15085991441,15082661680,15085986900,15087884480,15082669460,15085986830,15087885040,15087884391,15082659451,15087881681,15085985580,15087876741,15084375680,15085989540,15085989471,15084377320,15085994000,15087884821,15106037541
HOLE,15089604180,15089605540,15091324360,15089596541,15089597281,15089597281,15089610391,15089596361,15089605840,15089604441,15089599001,15089605091,15091323370,15089601201,15089601371,15089604780,15089597720,15089603371,15089605201,15089593481
DOWN,15085989391,15085989121,15087887671,15087883391,15082669870,15106037601,15082661751,15087884310,15082671010,15082661350,15082667330,15085991040,15087876850,15082667431,15082669180,15087878160,15087883470,15087876850,15082675760,15082659701
