HOLE,15089595801,15089602331,15089605590,15089607671,15089597781,15089593011,15091319370,15089611441,15091319031,15089604290,15091324191,15089602380,15089597591,15089606451,15089597221,15089604840,15089602080,15089604290,15089599001,15089597661
UP,15087884011,15082668931,15085986530,15084375120,15084364041,15082663270,15082663750,15084372330,15087886810,15084363691,15087877481,15087886401,15087887000,15082671231,15087877331,15084376911,15085986151,15082676340,15082663270,15084375120
DOWN,15085985190,15085989470,15087876851,15082659080,15082659540,15085989271,15082660871,15085985081,15082660140,15082669690,15082661350,15082675760,15106037541,15082660801,15082660330,15082668380,15085985381,15085991311,15082660800,15085991440
UP,15082669081,15087877120,15082667240,15082664520,15084366230,15082667861,15087875980,15087883870,15084366231,15087882370,15082663011,15084364330,15084363810,15087877411,15082676550,15087887501,15085983991,15085995510,15082665800,15084371931
HOLE,15089595871,15089593980,15091322420,15089605640,15089606591,15089610390,15089593540,15089602431,15089600031,15089605540,15089605780,15089605201,15089593481,15089603731,15091322671,15089602520,15089606640,15089597471,15089605320,15091322730
UP,15082665440,15082671230,15085986231,15085987620,15087880000,15082670180,15082665220,15082670100,15087886000,15087886481,15085992490,15087882020,15084366161,15084367381,15085995141,15082662161,15082664931,15084363690,15087879430,15084367440
HOLE,15089597401,15089602011,15089603221,15089597280,15089597530,15089597220,15089599171,15089606501,15091319290,15089604901,15089599980,15089599231,15089601201,15089593250,15091323430,15089596671,15089604441,15089596831,15089611270,15089600030
NA,15085997721,15093910600,15106029480,15093915141,15085998610,15085974371,15106032781,15093915681,15085973661,15093907140,15106037010,15085998241,15093913310,15106032901,15093906790,15093905401,15106036580,15093908861,15093913310,15093895260
UP,15082662360,15087877870,15082665381,15087888741,15087877121,15087883011,15082676601,15082676441,15087882021,15082664600,15084367380,15085989860,15087885260,15087885611,15087876991,15087886741,15084364160,15087882720,15085995511,15082676751
HOLE,15089605091,15089599630,15089604340,15089601200,15089599440,15089607430,15089602081,15089603531,15089593251,15089596981,15091323221,15089596230,15089595520,15089595940,15091322480,15089599881,15089602521,15089606641,15089593611,15089604340
DOWN,15084376501,15085993671,15082661040,15082668121,15084375280,15087879740,15106037710,15085991570,15082661231,15087880551,15082676130,15087887671,15085994451,15082667491,15082667491,15085985011,15084365231,15085989600,15082659541,15084376711
UP,15085984391,15082664440,15084364691,15082664930,15087887500,15084366100,15087877060,15087880490,15087885701,15085987740,15082671140,15085988741,15085991691,15087885460,15085984531,15084366160,15087886930,15085984140,15087877660,15087882721
DOWN,15087880550,15087878110,15106037711,15085985501,15087879810,15082659341,15087884550,15084375681,15087887760,15087880810,15085990971,15087884820,15085994351,15082659871,15082660061,15085990910,15085991310,15082668381,15084375351,15087888501
DOWN,15082668640,15082669291,15085993931,15087883250,15084375540,15085994001,15085993731,15082660961,15087878230,15087878161,15082669791,15106037830,15082669790,15082659701,15082659220,15082669461,15085989471,15082667330,15087887931,15085985780
DOWN,15085985261,15082661230,15087880941,15085989050,15084365120,15087887930,15106037371,15085994130,15082661571,15085984891,15082659340,15082661751,15085985380,15082671010,15085994201,15084364781,15106037311,15082666821,15087888341,15085989270
