TRAINING_0,32,1,ICOLOR,0,0.939013576508,0.55
TRAINING_0,32,1,ICOLOR,1,0.717674303055,0.775
TRAINING_0,32,1,ICOLOR,2,1.03930892944,0.525
TRAINING_0,32,1,IDEPTH,0,0.814501285553,0.7
TRAINING_0,32,1,IDEPTH,1,0.757486820221,0.725
TRAINING_0,32,1,IDEPTH,2,0.939414215088,0.725
TRAINING_0,32,1,PCLOUD,0,0.733043903112,0.675
TRAINING_0,32,1,PCLOUD,1,0.749720525742,0.725
TRAINING_0,32,1,PCLOUD,2,0.956519532204,0.625

TRAINING_0,48,1,ICOLOR,0,0.954348754883,0.65
TRAINING_0,48,1,ICOLOR,1,0.89371111393,0.65
TRAINING_0,48,1,ICOLOR,2,1.15418264866,0.6
TRAINING_0,48,1,IDEPTH,0,0.81595492363,0.725
TRAINING_0,48,1,IDEPTH,1,0.779023849964,0.65
TRAINING_0,48,1,IDEPTH,2,0.79899430871,0.675
TRAINING_0,48,1,PCLOUD,0,0.702071166039,0.75
TRAINING_0,48,1,PCLOUD,1,0.704446905851,0.725
TRAINING_0,48,1,PCLOUD,2,0.902353239059,0.625

TRAINING_0,52,1,ICOLOR,0,0.887738156319,0.55
TRAINING_0,52,1,ICOLOR,1,0.897229456902,0.65
TRAINING_0,52,1,ICOLOR,2,0.926946592331,0.6
TRAINING_0,52,1,IDEPTH,0,0.946500778198,0.65
TRAINING_0,52,1,IDEPTH,1,1.01489528418,0.65
TRAINING_0,52,1,IDEPTH,2,0.705288356543,0.725
TRAINING_0,52,1,PCLOUD,0,0.745935064554,0.7
TRAINING_0,52,1,PCLOUD,1,0.611907124519,0.75
TRAINING_0,52,1,PCLOUD,2,0.823164349794,0.725

TRAINING_0,56,1,ICOLOR,0,0.871058607101,0.675
TRAINING_0,56,1,ICOLOR,1,1.76105089188,0.425
TRAINING_0,56,1,ICOLOR,2,0.897525072098,0.6
TRAINING_0,56,1,IDEPTH,0,1.0469528079,0.65
TRAINING_0,56,1,IDEPTH,1,0.754265528917,0.7
TRAINING_0,56,1,IDEPTH,2,1.72794079781,0.6
TRAINING_0,56,1,PCLOUD,0,0.914997172356,0.625
TRAINING_0,56,1,PCLOUD,1,0.951985695958,0.625
TRAINING_0,56,1,PCLOUD,2,0.858346617222,0.65

TRAINING_0,64,1,ICOLOR,0,1.19904389381,0.4
TRAINING_0,64,1,ICOLOR,1,1.1040643692,0.475
TRAINING_0,64,1,ICOLOR,2,3.64061126709,0.275
TRAINING_0,64,1,IDEPTH,0,1.12494133711,0.575
TRAINING_0,64,1,IDEPTH,1,1.11763233542,0.725
TRAINING_0,64,1,IDEPTH,2,1.53378529549,0.55
TRAINING_0,64,1,PCLOUD,0,0.769465017319,0.675
TRAINING_0,64,1,PCLOUD,1,0.91544084549,0.625
TRAINING_0,64,1,PCLOUD,2,0.715776693821,0.725

