PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_0_TL_0,UP,NA,UP,DOWN,NA,UP,DOWN,UP,HOLE,HOLE,HOLE,UP,DOWN,NA,DOWN
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_0_TL_1,UP,NA,DOWN,NA,UP,UP,UP,UP,NA,UP,DOWN,UP,UP,DOWN,HOLE
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_0_TL_2,UP,UP,HOLE,DOWN,UP,DOWN,NA,NA,UP,DOWN,NA,UP,DOWN,NA,HOLE
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_0_TL_3,UP,NA,DOWN,DOWN,UP,HOLE,UP,HOLE,UP,UP,UP,HOLE,HOLE,HOLE,HOLE
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_0_TL_4,DOWN,NA,DOWN,UP,UP,DOWN,HOLE,NA,UP,HOLE,UP,NA,UP,DOWN,DOWN
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_1_TL_0,UP,UP,NA,DOWN,NA,UP,DOWN,HOLE,HOLE,DOWN,UP,UP,UP,UP,DOWN
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_1_TL_1,DOWN,UP,DOWN,UP,UP,HOLE,DOWN,UP,NA,UP,NA,DOWN,UP,UP,UP
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_1_TL_2,DOWN,NA,UP,NA,HOLE,DOWN,UP,UP,DOWN,HOLE,UP,NA,DOWN,HOLE,DOWN
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_1_TL_3,NA,UP,UP,DOWN,NA,HOLE,UP,UP,HOLE,NA,NA,NA,DOWN,UP,DOWN
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_1_TL_4,NA,UP,DOWN,DOWN,DOWN,HOLE,HOLE,HOLE,UP,UP,NA,DOWN,UP,DOWN,NA
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_2_TL_0,DOWN,UP,UP,NA,UP,DOWN,NA,UP,DOWN,NA,NA,NA,HOLE,UP,HOLE
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_2_TL_1,UP,DOWN,DOWN,UP,NA,UP,UP,NA,DOWN,DOWN,UP,DOWN,NA,UP,HOLE
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_2_TL_2,DOWN,UP,HOLE,NA,HOLE,NA,UP,DOWN,DOWN,UP,DOWN,NA,NA,DOWN,HOLE
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_2_TL_3,NA,DOWN,UP,NA,HOLE,UP,UP,DOWN,HOLE,DOWN,UP,UP,UP,DOWN,NA
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_2_TL_4,UP,NA,NA,DOWN,UP,NA,DOWN,DOWN,NA,HOLE,DOWN,UP,NA,UP,DOWN
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_3_TL_0,UP,UP,DOWN,HOLE,UP,DOWN,HOLE,NA,NA,DOWN,DOWN,NA,UP,UP,HOLE
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_3_TL_1,DOWN,UP,NA,DOWN,UP,NA,UP,DOWN,UP,HOLE,NA,UP,UP,UP,UP
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_3_TL_2,UP,UP,DOWN,NA,UP,HOLE,HOLE,HOLE,HOLE,NA,NA,DOWN,HOLE,DOWN,DOWN
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_3_TL_3,UP,DOWN,NA,NA,UP,DOWN,UP,UP,NA,DOWN,HOLE,DOWN,UP,DOWN,UP
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_3_TL_4,DOWN,UP,HOLE,UP,DOWN,NA,NA,NA,DOWN,HOLE,DOWN,UP,DOWN,DOWN,UP
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_4_TL_0,NA,NA,NA,UP,UP,UP,NA,DOWN,DOWN,UP,UP,HOLE,HOLE,DOWN,UP
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_4_TL_1,DOWN,UP,UP,DOWN,UP,DOWN,UP,UP,NA,DOWN,NA,DOWN,NA,UP,HOLE
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_4_TL_2,NA,NA,DOWN,DOWN,DOWN,UP,NA,HOLE,HOLE,DOWN,HOLE,NA,UP,HOLE,DOWN
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_4_TL_3,DOWN,NA,NA,UP,UP,DOWN,HOLE,NA,DOWN,NA,UP,DOWN,UP,NA,HOLE
PYCHARM_ADDED_ELEMENTS_RECORD_ICOLOR_DL_4_TL_4,NA,NA,UP,UP,DOWN,NA,UP,DOWN,NA,DOWN,NA,HOLE,UP,NA,HOLE
