ICOLOR_DL_0_TL_0,0.65,0.35,0.675,0.45,0.475,0.625,0.525,0.5,0.65,0.65,0.525,0.75,0.625,0.725,0.675,0.625
ICOLOR_DL_0_TL_1,0.675,0.675,0.4,0.3,0.725,0.725,0.7,0.775,0.8,0.85,0.625,0.8,0.85,0.55,0.825,0.65
ICOLOR_DL_0_TL_2,0.6,0.475,0.425,0.625,0.625,0.625,0.6,0.6,0.675,0.625,0.6,0.7,0.725,0.6,0.625,0.7
ICOLOR_DL_0_TL_3,0.4,0.475,0.475,0.575,0.65,0.75,0.625,0.7,0.625,0.725,0.75,0.75,0.8,0.7,0.8,0.8
ICOLOR_DL_0_TL_4,0.7,0.6,0.75,0.7,0.8,0.55,0.625,0.45,0.65,0.825,0.675,0.85,0.8,0.85,0.8,0.775
ICOLOR_DL_1_TL_0,0.575,0.575,0.4,0.55,0.425,0.55,0.55,0.375,0.4,0.575,0.7,0.525,0.575,0.675,0.65,0.75
ICOLOR_DL_1_TL_1,0.6,0.55,0.725,0.575,0.675,0.675,0.725,0.675,0.7,0.75,0.775,0.725,0.825,0.825,0.75,0.7
ICOLOR_DL_1_TL_2,0.475,0.475,0.625,0.25,0.475,0.7,0.625,0.475,0.65,0.575,0.65,0.525,0.7,0.675,0.725,0.675
ICOLOR_DL_1_TL_3,0.725,0.55,0.375,0.6,0.5,0.45,0.425,0.375,0.45,0.75,0.75,0.425,0.8,0.7,0.6,0.625
ICOLOR_DL_1_TL_4,0.675,0.625,0.375,0.475,0.625,0.575,0.675,0.55,0.725,0.8,0.725,0.75,0.775,0.8,0.8,0.525
ICOLOR_DL_2_TL_0,0.65,0.425,0.8,0.4,0.5,0.675,0.675,0.6,0.6,0.525,0.85,0.3,0.475,0.725,0.775,0.25
ICOLOR_DL_2_TL_1,0.725,0.575,0.7,0.725,0.725,0.7,0.725,0.7,0.8,0.8,0.8,0.675,0.75,0.725,0.575,0.775
ICOLOR_DL_2_TL_2,0.675,0.65,0.325,0.55,0.525,0.4,0.8,0.625,0.65,0.775,0.775,0.45,0.625,0.775,0.725,0.425
ICOLOR_DL_2_TL_3,0.625,0.7,0.65,0.5,0.625,0.725,0.625,0.675,0.65,0.825,0.725,0.725,0.725,0.85,0.75,0.525
ICOLOR_DL_2_TL_4,0.675,0.725,0.625,0.35,0.7,0.55,0.7,0.55,0.475,0.625,0.65,0.625,0.6,0.7,0.775,0.35
ICOLOR_DL_3_TL_0,0.525,0.575,0.675,0.6,0.675,0.55,0.525,0.575,0.65,0.525,0.8,0.7,0.625,0.775,0.75,0.675
ICOLOR_DL_3_TL_1,0.65,0.7,0.625,0.675,0.7,0.725,0.725,0.7,0.85,0.575,0.7,0.35,0.825,0.775,0.775,0.45
ICOLOR_DL_3_TL_2,0.675,0.675,0.7,0.275,0.5,0.6,0.6,0.5,0.625,0.425,0.25,0.475,0.475,0.75,0.7,0.65
ICOLOR_DL_3_TL_3,0.65,0.6,0.5,0.475,0.6,0.575,0.35,0.375,0.55,0.625,0.475,0.55,0.7,0.625,0.65,0.725
ICOLOR_DL_3_TL_4,0.6,0.725,0.75,0.6,0.725,0.575,0.675,0.4,0.65,0.525,0.775,0.7,0.8,0.8,0.725,0.65
ICOLOR_DL_4_TL_0,0.55,0.625,0.55,0.475,0.55,0.55,0.6,0.575,0.3,0.525,0.525,0.45,0.45,0.65,0.475,0.65
ICOLOR_DL_4_TL_1,0.525,0.575,0.6,0.475,0.55,0.65,0.55,0.5,0.55,0.45,0.775,0.625,0.775,0.775,0.65,0.6
ICOLOR_DL_4_TL_2,0.6,0.675,0.725,0.625,0.525,0.6,0.725,0.65,0.725,0.675,0.625,0.425,0.775,0.75,0.775,0.7
ICOLOR_DL_4_TL_3,0.7,0.7,0.725,0.6,0.625,0.675,0.45,0.625,0.625,0.7,0.55,0.425,0.775,0.75,0.675,0.6
ICOLOR_DL_4_TL_4,0.675,0.65,0.575,0.4,0.65,0.65,0.425,0.35,0.575,0.625,0.725,0.7,0.75,0.825,0.825,0.6
